"id","vector","h","s","v"
"richard-nixon","#791E10","0.0222222222222222","0.867768595041322","0.474509803921569"
"james-garfield","#291613","0.0227272727272727","0.536585365853659","0.16078431372549"
"franklin-roosevelt","#79271A","0.0228070175438597","0.785123966942149","0.474509803921569"
"james-madison","#4E1E16","0.0238095238095238","0.717948717948718","0.305882352941176"
"richard-nixon","#962B19","0.024","0.833333333333333","0.588235294117647"
"hw-bush","#401710","0.0243055555555556","0.75","0.250980392156863"
"william-harrison","#50170D","0.0248756218905473","0.8375","0.313725490196078"
"richard-nixon","#301510","0.0260416666666667","0.666666666666667","0.188235294117647"
"franklin-pierce","#523732","0.0260416666666667","0.390243902439024","0.32156862745098"
"andrew-jackson","#491A11","0.0267857142857143","0.767123287671233","0.286274509803922"
"richard-nixon","#631A0C","0.0268199233716475","0.878787878787879","0.388235294117647"
"jq-adams","#471910","0.0272727272727273","0.774647887323944","0.27843137254902"
"jq-adams","#85392A","0.0274725274725275","0.68421052631579","0.52156862745098"
"william-harrison","#2F1611","0.0277777777777778","0.638297872340426","0.184313725490196"
"richard-nixon","#170D0B","0.0277777777777778","0.521739130434783","0.0901960784313725"
"franklin-pierce","#230A05","0.0277777777777778","0.857142857142857","0.137254901960784"
"james-polk","#301C18","0.0277777777777778","0.5","0.188235294117647"
"richard-nixon","#681E0F","0.0280898876404494","0.855769230769231","0.407843137254902"
"george-washington","#7D564E","0.0283687943262411","0.376","0.490196078431373"
"james-monroe","#7C2513","0.0285714285714286","0.846774193548387","0.486274509803922"
"benjamin-harrison","#2B130E","0.028735632183908","0.674418604651163","0.168627450980392"
"john-tyler","#973F2C","0.029595015576324","0.708609271523179","0.592156862745098"
"george-washington","#974432","0.0297029702970297","0.668874172185431","0.592156862745098"
"william-mckinley","#29120D","0.0297619047619048","0.682926829268293","0.16078431372549"
"james-monroe","#1E0702","0.0297619047619048","0.933333333333333","0.117647058823529"
"james-monroe","#5D2215","0.0300925925925926","0.774193548387097","0.364705882352941"
"grover-cleveland","#692A1C","0.0303030303030303","0.733333333333333","0.411764705882353"
"andrew-johnson","#110806","0.0303030303030303","0.647058823529412","0.0666666666666667"
"zachary-taylor","#100705","0.0303030303030303","0.6875","0.0627450980392157"
"zachary-taylor","#140B09","0.0303030303030303","0.55","0.0784313725490196"
