"id","name","lastName","vector","rgb_color","hsv","h","s","v","Presidency","Wikipedia.Entry","year.took","year.left","Party","time"
"jq-adams","John Quincy","Adams","#392215","57 34 21","0.0601851851851852 0.631578947368421 0.223529411764706","0.0601851851851852","0.631578947368421","0.223529411764706",6,"http://en.wikipedia.org/wiki/John_Quincy_Adams","1825","1829","Democratic-Republican/National Republican ","1825-1829"
"jq-adams","John Quincy","Adams","#AB8168","171 129 104","0.0621890547263682 0.391812865497076 0.670588235294118","0.0621890547263682","0.391812865497076","0.670588235294118",6,"http://en.wikipedia.org/wiki/John_Quincy_Adams","1825","1829","Democratic-Republican/National Republican ","1825-1829"
"jq-adams","John Quincy","Adams","#DDB096","221 176 150","0.0610328638497652 0.321266968325792 0.866666666666667","0.0610328638497652","0.321266968325792","0.866666666666667",6,"http://en.wikipedia.org/wiki/John_Quincy_Adams","1825","1829","Democratic-Republican/National Republican ","1825-1829"
"jq-adams","John Quincy","Adams","#5C391D","92 57 29","0.0740740740740741 0.684782608695652 0.36078431372549","0.0740740740740741","0.684782608695652","0.36078431372549",6,"http://en.wikipedia.org/wiki/John_Quincy_Adams","1825","1829","Democratic-Republican/National Republican ","1825-1829"
"jq-adams","John Quincy","Adams","#6A503A","106 80 58","0.0763888888888889 0.452830188679245 0.415686274509804","0.0763888888888889","0.452830188679245","0.415686274509804",6,"http://en.wikipedia.org/wiki/John_Quincy_Adams","1825","1829","Democratic-Republican/National Republican ","1825-1829"
"jq-adams","John Quincy","Adams","#B69478","182 148 120","0.0752688172043011 0.340659340659341 0.713725490196078","0.0752688172043011","0.340659340659341","0.713725490196078",6,"http://en.wikipedia.org/wiki/John_Quincy_Adams","1825","1829","Democratic-Republican/National Republican ","1825-1829"
"jq-adams","John Quincy","Adams","#332214","51 34 20","0.0752688172043011 0.607843137254902 0.2","0.0752688172043011","0.607843137254902","0.2",6,"http://en.wikipedia.org/wiki/John_Quincy_Adams","1825","1829","Democratic-Republican/National Republican ","1825-1829"
"jq-adams","John Quincy","Adams","#3F2E14","63 46 20","0.10077519379845 0.682539682539683 0.247058823529412","0.10077519379845","0.682539682539683","0.247058823529412",6,"http://en.wikipedia.org/wiki/John_Quincy_Adams","1825","1829","Democratic-Republican/National Republican ","1825-1829"
"jq-adams","John Quincy","Adams","#504023","80 64 35","0.107407407407407 0.5625 0.313725490196078","0.107407407407407","0.5625","0.313725490196078",6,"http://en.wikipedia.org/wiki/John_Quincy_Adams","1825","1829","Democratic-Republican/National Republican ","1825-1829"
"jq-adams","John Quincy","Adams","#756D4F","117 109 79","0.131578947368421 0.324786324786325 0.458823529411765","0.131578947368421","0.324786324786325","0.458823529411765",6,"http://en.wikipedia.org/wiki/John_Quincy_Adams","1825","1829","Democratic-Republican/National Republican ","1825-1829"
